iata_code,name,latitude_deg,longitude_deg,type
YOJ,High Level Airport,58.62139892578125,-117.16500091552734,medium_airport
YOO,Oshawa Executive Airport,43.922798,-78.894997,medium_airport
YOP,Rainbow Lake Airport,58.491402,-119.407997,medium_airport
YOS,Owen Sound / Billy Bishop Regional Airport,44.5903015137,-80.8375015259,medium_airport
YOW,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,large_airport
YPA,Prince Albert Glass Field,53.2141990662,-105.672996521,medium_airport
YPS,Port Hawkesbury Airport,45.6567001343,-61.3680992126,medium_airport
YPE,Peace River Airport,56.226898,-117.446999,medium_airport
YPG,Portage-la-Prairie / Southport Airport,49.903099,-98.273817,medium_airport
YPL,Pickle Lake Airport,51.4463996887207,-90.21420288085938,medium_airport
YPN,Port-Menier Airport,49.836399,-64.288597,medium_airport
YPQ,Peterborough Regional Airport,44.232251,-78.362053,medium_airport
YPR,Prince Rupert Airport,54.2860984802,-130.445007324,medium_airport
YPW,Powell River Airport,49.83420181274414,-124.5,medium_airport
YPX,Puvirnituq Airport,60.050598,-77.286903,medium_airport
YPY,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,medium_airport
YPZ,Burns Lake Airport,54.3764,-125.950996,medium_airport
YQA,Muskoka Airport,44.975376,-79.306546,medium_airport
YQB,Quebec Jean Lesage International Airport,46.7911,-71.393303,large_airport
YQD,The Pas Airport,53.97140121459961,-101.09100341796876,medium_airport
YQF,Red Deer Regional Airport,52.182201,-113.893997,medium_airport
YQG,Windsor International Airport,42.2756,-82.955597,medium_airport
YQH,Watson Lake Airport,60.116839,-128.821993,medium_airport
YQI,Yarmouth Airport,43.82690048217773,-66.08809661865234,medium_airport
YQK,Kenora Airport,49.78829956054688,-94.36309814453124,medium_airport
YQL,Lethbridge County Airport,49.6302986145,-112.800003052,medium_airport
YQM,Greater Moncton Roméo LeBlanc International Airport,46.113189,-64.67719,medium_airport
YQN,Nakina Airport,50.18280029296875,-86.69640350341797,medium_airport
YQQ,Comox Valley International Airport / CFB Comox,49.7108,-124.887001,medium_airport
YQR,Regina International Airport,50.431938,-104.660906,medium_airport
YQS,St Thomas Municipal Airport,42.77000045776367,-81.11080169677734,medium_airport
YQT,Thunder Bay International Airport,48.371899,-89.323898,medium_airport
YQU,Grande Prairie Airport,55.1796989441,-118.885002136,medium_airport
YQV,Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,medium_airport
YQW,North Battleford Airport,52.769409,-108.243742,medium_airport
YQX,Gander International Airport,48.936258,-54.567719,medium_airport
YQY,Sydney / J.A. Douglas McCurdy Airport,46.161072,-60.049759,medium_airport
YQZ,Quesnel Airport,53.026100158691406,-122.51000213623048,medium_airport
YRB,Resolute Bay Airport,74.7169036865,-94.9693984985,medium_airport
YRI,Rivière-du-Loup Airport,47.76440048217773,-69.58470153808594,medium_airport
YRJ,Roberval Airport,48.519665,-72.265735,medium_airport
YRL,Red Lake Airport,51.06689834594727,-93.79309844970705,medium_airport
YRO,Ottawa / Rockcliffe Airport,45.460496,-75.644001,medium_airport
YRQ,Trois-Rivières Airport,46.35279846191406,-72.67939758300781,medium_airport
YRT,Rankin Inlet Airport,62.8114013672,-92.1157989502,medium_airport
YRV,Revelstoke Airport,50.962245,-118.184258,medium_airport
YSB,Sudbury Airport,46.625,-80.79889678955078,medium_airport
YSC,Sherbrooke Airport,45.438599,-71.691399,medium_airport
YSF,Stony Rapids Airport,59.250301361083984,-105.84100341796876,medium_airport
YSH,Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,medium_airport
YSJ,Saint John Airport,45.31610107421875,-65.89029693603516,medium_airport
YSL,Saint-Léonard Airport,47.157097,-67.836242,medium_airport
YSM,Fort Smith Airport,60.020302,-111.961998,medium_airport
YCM,Niagara District Airport,43.191598,-79.171686,medium_airport
YSP,Marathon Airport,48.75529861450195,-86.34439849853516,medium_airport
YSU,Summerside Airport,46.440601,-63.833599,medium_airport
YTA,Pembroke Airport,45.86439895629883,-77.25170135498047,medium_airport
YTF,Alma Airport,48.5089,-71.641899,medium_airport
YTH,Thompson Airport,55.80110168457031,-97.86419677734376,medium_airport
YTR,CFB Trenton,44.118900299072266,-77.5280990600586,medium_airport
YTS,Timmins/Victor M. Power,48.5696983337,-81.376701355,medium_airport
YTZ,Billy Bishop Toronto City Airport,43.627852,-79.39553,medium_airport
YUL,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,large_airport
YUX,Hall Beach Airport,68.7761,-81.2425,medium_airport
YUY,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,medium_airport
YVB,Bonaventure Airport,48.071098,-65.460297,medium_airport
YVC,La Ronge Airport,55.1514015198,-105.262001038,medium_airport
YVE,Vernon Regional Airport,50.246163,-119.330963,medium_airport
YVO,Val-d'Or Airport,48.0532989502,-77.7827987671,medium_airport
YVP,Kuujjuaq Airport,58.096099853515625,-68.4269027709961,medium_airport
YVQ,Norman Wells Airport,65.28160095214844,-126.7979965209961,medium_airport
YVR,Vancouver International Airport,49.193901,-123.183998,large_airport
YVV,Wiarton Airport,44.7458,-81.107201,medium_airport
YWG,Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,large_airport
YWK,Wabush Airport,52.92190170288086,-66.8644027709961,medium_airport
YWL,Williams Lake Airport,52.1831016541,-122.054000854,medium_airport
YWY,Wrigley Airport,63.20940017700195,-123.43699645996094,medium_airport
YXC,Cranbrook/Canadian Rockies International Airport,49.610802,-115.781998,medium_airport
YXE,Saskatoon John G. Diefenbaker International Airport,52.170723,-106.700793,large_airport
YXH,Medicine Hat Regional Airport,50.018902,-110.721001,medium_airport
YXJ,Fort St John / North Peace Regional Airport,56.238098,-120.739998,medium_airport
YXK,Rimouski Airport,48.477644,-68.496323,medium_airport
YXL,Sioux Lookout Airport,50.11389923095703,-91.9052963256836,medium_airport
YXQ,Beaver Creek Airport,62.410301208496094,-140.86700439453125,medium_airport
YXR,Earlton (Timiskaming Regional) Airport,47.6974006546,-79.8473453522,medium_airport
YXS,Prince George (International) Airport,53.884311,-122.666554,medium_airport
YXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,medium_airport
YXU,London International Airport,43.032845,-81.149003,medium_airport
YXX,Abbotsford International Airport,49.025299,-122.361,medium_airport
YXY,Whitehorse / Erik Nielsen International Airport,60.708533,-135.065705,medium_airport
YXZ,Wawa Airport,47.96670150756836,-84.78669738769531,medium_airport
YYB,North Bay Jack Garland Airport,46.363602,-79.422798,medium_airport
YYC,Calgary International Airport,51.118822,-114.009933,large_airport
YYD,Smithers Airport,54.82469940185547,-127.18299865722656,medium_airport
YYE,Fort Nelson Airport,58.8363990784,-122.597000122,medium_airport
YYF,Penticton Airport,49.46310043334961,-119.60199737548828,medium_airport
YYG,Charlottetown Airport,46.288911,-63.125174,medium_airport
YYJ,Victoria International Airport,48.647201,-123.427792,large_airport
YYL,Lynn Lake Airport,56.86389923095703,-101.07599639892578,medium_airport
YYN,Swift Current Airport,50.2919006348,-107.691001892,medium_airport
YYQ,Churchill Airport,58.739200592041016,-94.06500244140624,medium_airport
YYR,Goose Bay Airport,53.3191986084,-60.4258003235,medium_airport
YYT,St. John's International Airport,47.618599,-52.7519,large_airport
YYU,Kapuskasing Airport,49.411587,-82.469645,medium_airport
YYW,Armstrong Airport,50.29029846191406,-88.90969848632812,medium_airport
YYY,Mont Joli Airport,48.60860061645508,-68.20809936523438,medium_airport
YYZ,Toronto Pearson International Airport,43.675935,-79.629421,large_airport
YZE,Gore Bay Manitoulin Airport,45.8853,-82.567802,medium_airport
YZF,Yellowknife International Airport,62.462799,-114.440002,medium_airport
YZH,Slave Lake Airport,55.292945,-114.777276,medium_airport
YZP,Sandspit Airport,53.25429916379999,-131.813995361,medium_airport
YZR,Chris Hadfield Airport,42.999401,-82.308899,medium_airport
YZS,Coral Harbour Airport,64.1932983398,-83.3593978882,medium_airport
YZT,Port Hardy Airport,50.68059921264648,-127.36699676513672,medium_airport
YZU,Whitecourt Airport,54.143902,-115.787003,medium_airport
YZV,Sept-Îles Airport,50.22330093383789,-66.2656021118164,medium_airport
YZW,Teslin Airport,60.17279815673828,-132.7429962158203,medium_airport
YZX,CFB Greenwood,44.98440170288086,-64.91690063476562,medium_airport
YSN,Shuswap Regional Airport,50.682802,-119.228996,medium_airport
YDT,Boundary Bay Airport,49.074338,-123.006877,medium_airport
ZBF,Bathurst Airport,47.6297,-65.738899,medium_airport
ZBM,Bromont (Roland Désourdy) Airport,45.290798,-72.741402,medium_airport
KES,Kelsey Airport,56.0374984741,-96.5096969604,medium_airport
ZFA,Faro Airport,62.20750045776367,-133.37600708007812,medium_airport
ZGF,Grand Forks Airport,49.015598,-118.431,medium_airport
ZJG,Jenpeg Airport,54.51890182495117,-98.0460968017578,medium_airport
ZJN,Swan River Airport,52.120602,-101.236,medium_airport
YTD,Thicket Portage Airport,55.31890106201172,-97.70780181884766,medium_airport
PIW,Pikwitonei Airport,55.58890151977539,-97.16419982910156,medium_airport
ZMT,Masset Airport,54.0275,-132.125,medium_airport
WPC,Pincher Creek Airport,49.520429,-113.997002,medium_airport
ZSJ,Sandy Lake Airport,53.06420135498047,-93.34439849853516,medium_airport
ZST,Stewart Airport,55.935410448,-129.982434511,medium_airport
ZUC,Ignace Municipal Airport,49.428204,-91.720418,medium_airport
BUJ,Bou Saada Airport,35.3325,4.20639,medium_airport
