iata_code,name,latitude_deg,longitude_deg,type,country,country_zh,iso,city,city_alt,kw
UTS,Ust-Tsylma Airport,65.437294,52.200336,medium_airport,Russia,俄罗斯,RU,Ust-Tsylma,,"Ust-Tsilma, Усть-Цильма"
SCW,Syktyvkar Airport,61.64699935913086,50.84510040283203,medium_airport,Russia,俄罗斯,RU,Syktyvkar,,
GOJ,Nizhny Novgorod / Strigino International Airport,56.227351,43.785152,large_airport,Russia,俄罗斯,RU,Nizhny Novgorod,,"УВГГ, ЬВГГ, Нижний Новгород / Стригино"
UUA,Bugulma Airport,54.641184,52.800229,medium_airport,Russia,俄罗斯,RU,Bugulma,,"УВКБ, Аэропорт Бугульма"
KZN,Kazan International Airport,55.606201,49.278702,large_airport,Russia,俄罗斯,RU,Kazan,,"УВКД, Казань"
NBC,Begishevo Airport,55.564701,52.092499,medium_airport,Russia,俄罗斯,RU,Nizhnekamsk,,"УВКЕ, Бегишево, Нижнекамск"
JOK,Yoshkar-Ola Airport,56.7006,47.904701,medium_airport,Russia,俄罗斯,RU,Yoshkar-Ola,,Аэропорт Йошкар-Ола
CSY,Cheboksary Airport,56.090302,47.347301,medium_airport,Russia,俄罗斯,RU,Cheboksary,,"УВКС, ЬВКС, Чебоксары"
ULV,Ulyanovsk Baratayevka Airport,54.27016,48.225569,medium_airport,Russia,俄罗斯,RU,Ulyanovsk,,
ULY,Ulyanovsk Vostochny Airport,54.401001,48.8027,medium_airport,Russia,俄罗斯,RU,Cherdakly,,Ulyanovsk Vostochny Airport
REN,Orenburg Central Airport,51.792668,55.457229,medium_airport,Russia,俄罗斯,RU,Orenburg,,"Orenburg Tsentralny Airport, Аэропорт Центральный"
OSW,Orsk Airport,51.072498,58.5956,medium_airport,Russia,俄罗斯,RU,Orsk,,
PEZ,Penza Airport,53.1106,45.021099,medium_airport,Russia,俄罗斯,RU,Penza,,"УВПП, Пенза, Penza South"
SKX,Saransk International Airport,54.12513,45.212257,large_airport,Russia,俄罗斯,RU,Saransk,,Аэропорт Саранск
BWO,Balakovo Airport,51.858299,47.745602,medium_airport,Russia,俄罗斯,RU,Balakovo,,"Malaya Bykovka Airport, Аэропорт Балаково, Аэропорт Малая Быковка"
GSV,Gagarin International Airport,51.712778,46.171111,large_airport,Russia,俄罗斯,RU,Saratov,,"УВСГ, Гагарин, Саратов"
UFA,Ufa International Airport,54.557499,55.874401,large_airport,Russia,俄罗斯,RU,Ufa,,"УВУУ, Международный аэропорт Уфа"
KUF,Kurumoch International Airport,53.504902,50.164299,large_airport,Russia,俄罗斯,RU,Samara,,"УВВВ, Самара / Курумоч"
UZR,Urzhar Airport,47.091786,81.668216,small_airport,Kazakhstan,哈萨克斯坦,KZ,Urzhar,,"Urdzhar, Үржар, Урджар"
REW,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,medium_airport,India,印度,IN,Rewa,,
DIU,Diu Airport,20.714185,70.921855,small_airport,India,印度,IN,Diu,,VA1P
GDB,Gondia Airport,21.526817,80.290347,medium_airport,India,印度,IN,Gondia,,Birsi
AMD,Sardar Vallabh Patel International Airport,23.0772,72.634697,large_airport,India,印度,IN,Ahmedabad,,Gandhinagar Air Force Station
AKD,Akola Airport,20.698931,77.056883,medium_airport,India,印度,IN,Akola,,Shioni Airport
IXU,Aurangabad Airport,19.862875,75.396312,medium_airport,India,印度,IN,Aurangabad,,"Chikkalthana Airport, Chhatrapati Sambhajinagar"
BOM,Chhatrapati Shivaji Maharaj International Airport,19.088699,72.867897,large_airport,India,印度,IN,Mumbai,,"Bombay, Sahar International Airport"
BHJ,Bhuj Airport,23.2877998352,69.6701965332,medium_airport,India,印度,IN,Bhuj,,"Bhuj Rudra Mata Air Force Station, Shyamji Krishna Verma, Bhuj Airport"
IXG,Belagavi Airport,15.8593,74.618301,medium_airport,India,印度,IN,Belgaum,,VABM
BDQ,Vadodara International Airport,22.336201,73.226303,large_airport,India,印度,IN,Vadodara,,Civil Airport Harni
BHO,Raja Bhoj International Airport,23.2875,77.337402,large_airport,India,印度,IN,Bhopal,,
BHU,Bhavnagar Airport,21.752199173,72.1852035522,medium_airport,India,印度,IN,Bhavnagar,,
NMB,Daman Airport,20.434401,72.843201,medium_airport,India,印度,IN,Daman,,
